time,open,high,low,close,Volume,Volume MA
1659301200,0.69901,0.69976,0.69876,0.69953,32,NaN
1659302100,0.69953,0.69953,0.69846,0.69846,2,NaN
1659303000,0.69846,0.69878,0.69814,0.69851,210,NaN
1659303900,0.69851,0.69872,0.69846,0.69872,76,NaN
1659304800,0.69872,0.6988,0.698,0.69806,370,NaN
1659305700,0.69806,0.69816,0.69737,0.69741,587,NaN
1659306600,0.69741,0.698,0.6974,0.69786,462,NaN
1659307500,0.69786,0.69802,0.6976,0.69798,297,NaN
1659308400,0.69798,0.69815,0.69772,0.69804,296,NaN
1659309300,0.69804,0.69804,0.6975,0.6976,366,NaN
1659310200,0.6976,0.69764,0.69724,0.69728,261,NaN
1659311100,0.69728,0.69743,0.69704,0.69708,349,NaN
1659312000,0.69708,0.69806,0.69686,0.69792,721,NaN
1659312900,0.69792,0.69878,0.69792,0.69854,857,NaN
1659313800,0.69854,0.69856,0.69748,0.6977,874,NaN
1659314700,0.6977,0.69844,0.69765,0.69839,924,NaN
1659315600,0.69839,0.69871,0.69802,0.69842,1107,NaN
1659316500,0.69842,0.69902,0.69838,0.6986,987,NaN
1659317400,0.6986,0.6991,0.6983,0.69873,842,NaN
1659318300,0.69873,0.69889,0.69777,0.69846,886,525.3
1659319200,0.69846,0.69885,0.69836,0.69874,587,553.05
1659320100,0.69874,0.69992,0.69874,0.6999,662,586.05
1659321000,0.6999,0.7,0.69964,0.69966,473,599.2
1659321900,0.69966,0.69972,0.69934,0.6996,583,624.55
1659322800,0.6996,0.69974,0.6985,0.69856,517,631.9
1659323700,0.69856,0.69858,0.69831,0.69846,642,634.65
1659324600,0.69846,0.69857,0.69824,0.69854,522,637.65
1659325500,0.69854,0.69854,0.69819,0.6983,378,641.7
1659326400,0.6983,0.69849,0.698,0.69823,612,657.5
1659327300,0.69823,0.699,0.69821,0.6987,553,666.85
1659328200,0.6987,0.69903,0.69866,0.69886,444,676
1659329100,0.69886,0.69887,0.69846,0.69871,473,682.2
1659330000,0.69871,0.69882,0.69856,0.69874,353,663.8
1659330900,0.69874,0.69914,0.69872,0.69912,404,641.15
1659331800,0.69912,0.69932,0.69876,0.69878,564,625.65
1659332700,0.69878,0.69921,0.69826,0.69866,609,609.9
1659333600,0.69866,0.69911,0.69864,0.69888,721,590.6
1659334500,0.69888,0.69907,0.69865,0.69876,683,575.4
1659335400,0.69876,0.69944,0.69867,0.6994,787,572.65
1659336300,0.6994,0.70036,0.6994,0.70006,774,567.05
1659337200,0.70006,0.70101,0.69992,0.70072,916,583.5
1659338100,0.70072,0.70144,0.7006,0.70082,827,591.75
1659339000,0.70082,0.70142,0.70076,0.70134,833,609.75
1659339900,0.70134,0.70177,0.7011,0.70165,681,614.65
1659340800,0.70165,0.70247,0.70146,0.70236,913,634.45
1659341700,0.70236,0.70256,0.7018,0.7021,741,639.4
1659342600,0.7021,0.70358,0.7021,0.70342,878,657.2
1659343500,0.70342,0.70353,0.70242,0.70268,655,671.05
1659344400,0.70268,0.703,0.70246,0.70256,745,677.7
1659345300,0.70256,0.70292,0.70242,0.70286,490,674.55
1659346200,0.70286,0.70363,0.70285,0.70355,673,686
1659347100,0.70355,0.70412,0.70306,0.70338,736,699.15
1659348000,0.70338,0.7041,0.70338,0.70398,706,716.8
1659348900,0.70398,0.70446,0.70384,0.70422,680,730.6
1659349800,0.70422,0.7047,0.70396,0.70396,572,731
1659350700,0.70396,0.70438,0.70388,0.7041,754,738.25
1659351600,0.7041,0.70441,0.70362,0.704,749,739.65
1659352500,0.704,0.70443,0.7037,0.7044,758,743.4
1659353400,0.7044,0.70454,0.70402,0.70418,652,736.65
1659354300,0.70418,0.70447,0.70378,0.70392,809,738.4
1659355200,0.70392,0.70408,0.70354,0.70404,804,732.8
1659356100,0.70404,0.70462,0.70381,0.70404,1062,744.55
1659357000,0.70404,0.70444,0.70374,0.70404,1098,757.8
1659357900,0.70404,0.70431,0.70261,0.70278,1405,794
1659358800,0.70278,0.70284,0.70119,0.70268,1578,827.25
1659359700,0.70268,0.7032,0.70155,0.70162,1268,853.6
1659360600,0.70162,0.7022,0.7008,0.702,1631,891.25
1659361500,0.702,0.70259,0.70156,0.70228,1573,937.15
1659362400,0.70228,0.70355,0.7012,0.70328,3111,1055.45
1659363300,0.70328,0.70358,0.70148,0.7017,1889,1125.4
1659364200,0.7017,0.7037,0.7017,0.7037,1694,1176.45
1659365100,0.7037,0.70466,0.70363,0.70429,1465,1212.9
1659366000,0.70429,0.70443,0.70312,0.70396,1205,1237.85
1659366900,0.70396,0.70398,0.7031,0.70352,1229,1265.3
1659367800,0.70352,0.7038,0.7034,0.70368,1084,1290.9
1659368700,0.70368,0.70383,0.70292,0.70335,801,1293.25
1659369600,0.70335,0.70371,0.70306,0.70318,698,1290.7
1659370500,0.70318,0.70371,0.70289,0.70308,747,1290.15
1659371400,0.70308,0.70336,0.70282,0.70304,756,1295.35
1659372300,0.70304,0.70351,0.70304,0.70341,737,1291.75
1659373200,0.70341,0.70344,0.7026,0.70288,691,1286.1
1659374100,0.70288,0.70295,0.70206,0.70208,794,1272.7
1659375000,0.70208,0.70242,0.70182,0.70187,878,1261.7
1659375900,0.70187,0.70203,0.70156,0.70203,786,1230.75
1659376800,0.70203,0.70228,0.70168,0.70228,773,1190.5
1659377700,0.70228,0.70234,0.70134,0.70152,671,1160.65
1659378600,0.70152,0.70192,0.70148,0.70154,636,1110.9
1659379500,0.70154,0.70226,0.70126,0.70214,806,1072.55
1659380400,0.70214,0.70244,0.70182,0.70244,654,949.7
1659381300,0.70244,0.7026,0.70204,0.70206,599,885.2
1659382200,0.70206,0.70256,0.70202,0.7024,497,825.35
1659383100,0.7024,0.70274,0.7023,0.7026,528,778.5
1659384000,0.7026,0.70288,0.70252,0.7028,211,728.8
1659384900,0.7028,0.70281,0.70266,0.7027,119,673.3
1659385800,0.7027,0.70272,0.70263,0.70266,122,625.2
1659386700,0.70266,0.70267,0.70255,0.70255,82,589.25
1659387600,0.70255,0.7026,0.70216,0.7025,35,556.1
1659388500,0.7025,0.70283,0.70238,0.70276,32,520.35
1659389400,0.70276,0.70288,0.70264,0.70272,169,491
1659390300,0.70272,0.70275,0.70266,0.70274,115,459.9
1659391200,0.70274,0.70286,0.70267,0.70272,163,433.5
1659392100,0.70272,0.70298,0.70272,0.70286,321,409.85
1659393000,0.70286,0.70313,0.70262,0.70262,226,377.25
1659393900,0.70262,0.70308,0.70262,0.70306,164,346.15
1659394800,0.70306,0.70309,0.70266,0.70309,450,330
1659395700,0.70309,0.7032,0.7028,0.70296,346,313.75
1659396600,0.70296,0.70296,0.70242,0.70257,497,306.8
1659397500,0.70257,0.70263,0.70222,0.70243,536,293.3
1659398400,0.70243,0.70274,0.70152,0.70165,1066,313.9
1659399300,0.70165,0.70241,0.70128,0.70234,1151,341.5
1659400200,0.70234,0.70323,0.70182,0.70194,1516,392.45
1659401100,0.70194,0.70258,0.70176,0.70198,1311,431.6
1659402000,0.70198,0.70212,0.70114,0.70114,1439,493
1659402900,0.70114,0.70198,0.70087,0.70179,1287,551.4
1659403800,0.70179,0.7022,0.7007,0.70088,1568,623.7
1659404700,0.70088,0.70152,0.70082,0.70134,1509,695.05
1659405600,0.70134,0.70185,0.70092,0.70132,1150,750.8
1659406500,0.70132,0.70148,0.70104,0.70131,1029,800.65
1659407400,0.70131,0.70147,0.70084,0.70088,936,839
1659408300,0.70088,0.70162,0.7007,0.70156,948,880.65
1659409200,0.70156,0.70171,0.70075,0.70098,1196,932.3
1659410100,0.70098,0.70165,0.70094,0.70152,1171,974.8
1659411000,0.70152,0.70195,0.70124,0.70188,949,1010.95
1659411900,0.70188,0.7019,0.70141,0.70164,663,1035.9
1659412800,0.70164,0.70182,0.70148,0.70182,692,1048
1659413700,0.70182,0.70208,0.70153,0.70161,730,1067.2
1659414600,0.70161,0.70172,0.69845,0.69912,2459,1165.3
1659415500,0.69912,0.69933,0.69649,0.69706,1599,1218.45
1659416400,0.69706,0.69759,0.69684,0.69718,1476,1238.95
1659417300,0.69718,0.69726,0.69618,0.69618,1384,1250.6
1659418200,0.69618,0.69646,0.69544,0.69614,1253,1237.45
1659419100,0.69614,0.69615,0.69498,0.69578,1045,1224.15
1659420000,0.69578,0.69601,0.69526,0.69577,1460,1225.2
1659420900,0.69577,0.69601,0.69497,0.6957,1449,1233.3
1659421800,0.6957,0.69575,0.69504,0.69542,1235,1216.65
1659422700,0.69542,0.69586,0.6947,0.69494,1224,1202.4
1659423600,0.69494,0.69518,0.69302,0.6935,1451,1217.45
1659424500,0.6935,0.69378,0.69304,0.6932,1335,1232.75
1659425400,0.6932,0.6932,0.6925,0.69288,1489,1260.4
1659426300,0.69288,0.69312,0.69255,0.69273,1092,1267.6
1659427200,0.69273,0.69288,0.69184,0.6923,1216,1268.6
1659428100,0.6923,0.69296,0.69202,0.6927,1152,1267.65
1659429000,0.6927,0.69278,0.69162,0.69182,1240,1282.2
1659429900,0.69182,0.6923,0.69174,0.69206,889,1293.5
1659430800,0.69206,0.69226,0.6916,0.692,757,1296.75
1659431700,0.692,0.69256,0.69188,0.69244,626,1291.55
1659432600,0.69244,0.69282,0.69213,0.69229,911,1214.15
1659433500,0.69229,0.69248,0.69196,0.69235,770,1172.7
1659434400,0.69235,0.69269,0.6918,0.69218,661,1131.95
1659435300,0.69218,0.69278,0.6921,0.6927,728,1099.15
1659436200,0.6927,0.69285,0.69256,0.69257,566,1064.8
1659437100,0.69257,0.69257,0.69206,0.69238,765,1050.8
1659438000,0.69238,0.69315,0.69218,0.693,715,1013.55
1659438900,0.693,0.69407,0.69294,0.69406,606,971.4
1659439800,0.69406,0.69429,0.69375,0.6938,651,942.2
1659440700,0.6938,0.69412,0.69342,0.69353,961,929.05
1659441600,0.69353,0.69378,0.69325,0.69334,879,900.45
1659442500,0.69334,0.69362,0.69304,0.69358,1080,887.7
1659443400,0.69358,0.6938,0.693,0.6933,1206,873.55
1659444300,0.6933,0.6935,0.6928,0.69286,853,861.6
1659445200,0.69286,0.69514,0.6928,0.69467,1237,862.65
1659446100,0.69467,0.69495,0.69322,0.69379,1416,875.85
1659447000,0.69379,0.69464,0.69308,0.69338,2455,936.6
1659447900,0.69338,0.69398,0.69226,0.69306,2915,1037.9
1659448800,0.69306,0.69312,0.69124,0.69249,2621,1131.1
1659449700,0.69249,0.69324,0.69234,0.69284,1858,1192.7
1659450600,0.69284,0.69378,0.69193,0.69378,1873,1240.8
1659451500,0.69378,0.6951,0.69345,0.69508,2535,1329.05
1659452400,0.69508,0.69544,0.69402,0.69425,1917,1391.85
1659453300,0.69425,0.69585,0.69422,0.69564,1469,1428.9
1659454200,0.69564,0.69666,0.69516,0.69562,1323,1466.75
1659455100,0.69562,0.69579,0.6951,0.69518,984,1477.7
1659456000,0.69518,0.69612,0.695,0.69557,1117,1497.8
1659456900,0.69557,0.69623,0.69522,0.69534,852,1510.1
1659457800,0.69534,0.69538,0.69436,0.6953,702,1512.65
1659458700,0.6953,0.69536,0.69481,0.69504,516,1490.4
1659459600,0.69504,0.69507,0.69456,0.69462,670,1479.95
1659460500,0.69462,0.69466,0.69345,0.69364,1005,1476.2
1659461400,0.69364,0.69364,0.69296,0.69318,1163,1474.05
1659462300,0.69318,0.69376,0.69286,0.69366,928,1477.8
1659463200,0.69366,0.69372,0.693,0.69318,838,1457.85
1659464100,0.69318,0.69354,0.6928,0.69348,795,1426.8
1659465000,0.69348,0.69372,0.69325,0.69341,648,1336.45
1659465900,0.69341,0.69341,0.69216,0.69239,804,1230.9
1659466800,0.69239,0.69273,0.69227,0.69246,727,1136.2
1659467700,0.69246,0.6926,0.69222,0.69248,629,1074.75
1659468600,0.69248,0.69286,0.69234,0.6928,602,1011.2
1659469500,0.6928,0.6928,0.69216,0.69226,673,918.1
1659470400,0.69226,0.6923,0.6921,0.69218,292,836.85
1659471300,0.69218,0.69222,0.69196,0.69203,172,772
1659472200,0.69203,0.69222,0.69199,0.69202,193,715.5
1659473100,0.69202,0.69212,0.69184,0.69188,263,679.45
1659474000,0.69188,0.692,0.69188,0.69194,9,624.05
1659474900,0.69194,0.69212,0.69186,0.69198,56,584.25
1659475800,0.69198,0.69204,0.6918,0.69186,71,552.7
1659476700,0.69186,0.69199,0.69185,0.6919,60,529.9
1659477600,0.6919,0.69256,0.69168,0.69256,348,513.8
1659478500,0.69256,0.69258,0.692,0.69219,411,484.1
1659479400,0.69219,0.69238,0.692,0.69202,335,442.7
1659480300,0.69202,0.69228,0.6905,0.6909,735,433.05
1659481200,0.6909,0.6914,0.6908,0.69105,668,424.55
1659482100,0.69105,0.6914,0.69067,0.69088,476,408.6
1659483000,0.69088,0.69134,0.69026,0.6903,425,397.45
1659483900,0.6903,0.69043,0.68888,0.68904,735,394
1659484800,0.68904,0.6901,0.68903,0.6894,1188,417.05
1659485700,0.6894,0.68974,0.68872,0.68912,1135,442.35
1659486600,0.68912,0.68955,0.68863,0.68874,840,454.25
1659487500,0.68874,0.6894,0.68863,0.68932,763,458.75
1659488400,0.68932,0.69042,0.68925,0.69027,1002,494.25
1659489300,0.69027,0.69052,0.68984,0.69019,858,528.55
1659490200,0.69019,0.69098,0.69012,0.6906,1022,570
1659491100,0.6906,0.69166,0.69059,0.69144,1125,613.1
1659492000,0.69144,0.69268,0.69132,0.69234,858,655.55
1659492900,0.69234,0.69264,0.69215,0.69219,881,696.8
1659493800,0.69219,0.69258,0.69218,0.69229,667,726.6
1659494700,0.69229,0.69264,0.69135,0.69218,1009,774.05
1659495600,0.69218,0.6926,0.69201,0.69256,791,796.2
1659496500,0.69256,0.69312,0.69253,0.69258,1134,832.35
1659497400,0.69258,0.69278,0.69246,0.69256,776,854.4
1659498300,0.69256,0.69362,0.69248,0.69328,721,853.7
1659499200,0.69328,0.69348,0.69288,0.69312,1072,873.9
1659500100,0.69312,0.69326,0.69294,0.69311,606,880.4
1659501000,0.69311,0.69334,0.69238,0.69274,661,892.2
1659501900,0.69274,0.69327,0.69274,0.69294,645,887.7
1659502800,0.69294,0.6932,0.69277,0.69288,671,861.85
1659503700,0.69288,0.6934,0.69277,0.69318,614,835.8
1659504600,0.69318,0.69378,0.69311,0.69368,686,828.1
1659505500,0.69368,0.69398,0.69318,0.69323,672,823.55
1659506400,0.69323,0.69362,0.69264,0.69347,1043,825.6
1659507300,0.69347,0.69386,0.69297,0.69346,930,829.2
1659508200,0.69346,0.69356,0.69296,0.69298,1032,829.7
1659509100,0.69298,0.69328,0.69206,0.69252,988,822.85
1659510000,0.69252,0.69372,0.69246,0.69372,1473,853.6
1659510900,0.69372,0.69403,0.69358,0.69372,1099,864.5
1659511800,0.69372,0.69388,0.69286,0.69292,901,876.2
1659512700,0.69292,0.69326,0.69258,0.693,843,867.9
1659513600,0.693,0.6934,0.69272,0.6929,1037,880.2
1659514500,0.6929,0.6934,0.69277,0.69333,749,860.95
1659515400,0.69333,0.6935,0.69269,0.69274,702,857.25
1659516300,0.69274,0.6932,0.69254,0.69301,619,852.15
1659517200,0.69301,0.69354,0.69282,0.69347,918,844.45
1659518100,0.69347,0.694,0.69347,0.6937,614,844.85
1659519000,0.6937,0.69392,0.69332,0.69342,728,848.2
1659519900,0.69342,0.69342,0.69314,0.69334,612,846.55
1659520800,0.69334,0.69385,0.69325,0.69362,640,845
1659521700,0.69362,0.69366,0.69212,0.6922,876,858.1
1659522600,0.6922,0.6927,0.69209,0.69262,796,863.6
1659523500,0.69262,0.69329,0.69261,0.69295,597,859.85
1659524400,0.69295,0.69376,0.6929,0.69351,662,840.8
1659525300,0.69351,0.69464,0.69294,0.6946,706,829.6
1659526200,0.6946,0.69468,0.69368,0.69396,853,820.65
1659527100,0.69396,0.69446,0.69348,0.69414,829,812.7
1659528000,0.69414,0.69438,0.6936,0.69435,883,783.2
1659528900,0.69435,0.69466,0.6938,0.6938,1017,779.1
1659529800,0.6938,0.6943,0.69318,0.69358,1113,789.7
1659530700,0.69358,0.69383,0.69307,0.69376,931,794.1
1659531600,0.69376,0.694,0.69328,0.6933,848,784.65
1659532500,0.6933,0.69342,0.69252,0.69296,886,791.5
